4,13,6,73.72
4,13,7,73.72
4,13,8,73.72
4,13,9,73.14
4,13,10,73.14
4,13,11,73.14
4,13,12,72.71
4,13,13,72.71
4,13,14,72.71
4,13,15,73.15
4,13,16,73.15
4,13,17,73.15
4,13,18,72.01
4,13,19,72.01
4,13,20,72.01
4,13,21,72.15
4,13,22,72.15
4,13,23,69.82
4,14,0,68.02
4,14,1,66.22
4,14,2,66.22
4,14,3,64.72
4,14,4,64.13
4,14,5,63.21
4,14,6,72.11
4,14,7,72.11
4,14,8,70.09
4,14,9,72.81
4,14,10,78.48
4,14,11,72.81
4,14,12,74.42
4,14,13,81.81
4,14,14,74.42
4,14,15,74.38
4,14,16,74.38
4,14,17,74.38
4,14,18,74.91
4,14,19,74.91
4,14,20,74.91
4,14,21,72.5
4,14,22,70.99
4,14,23,69.78
4,15,0,76.34
4,15,1,76.34
4,15,2,76.34
4,15,3,65.3
4,15,4,63.79
4,15,5,74.02
4,15,6,59.86
4,15,7,60.48
4,15,8,69.5
4,15,9,67.07
4,15,10,67.07
4,15,11,67.07
4,15,12,67.55
4,15,13,67.55
4,15,14,67.55
4,15,15,68.59
4,15,16,68.59
4,15,17,68.59
4,15,18,73.13
4,15,19,69.32
4,15,20,64.42
4,15,21,70.51
4,15,22,60.21
4,15,23,58.12
4,16,0,71.46
4,16,1,56.32
4,16,2,71.46
4,16,3,55.42
4,16,4,55.72
4,16,5,72.08
4,16,6,70.66
4,16,7,70.66
4,16,8,63.79
4,16,9,71.19
4,16,10,71.19
4,16,11,71.19
4,16,12,73.4
4,16,13,72.33
4,16,14,75.2
4,16,15,73.42
4,16,16,75.22
4,16,17,74.32
4,16,18,73.84
4,16,19,73.84
4,16,20,68.72
4,16,21,73.84
4,16,22,73.84
4,16,23,73.84
4,17,0,73.75
4,17,1,73.75
4,17,2,65.88
4,17,3,65.91
4,17,4,73.82
4,17,5,73.82
4,17,6,74.25
4,17,7,74.25
4,17,8,74.25
4,17,9,73.71
4,17,10,67.45
4,17,11,67.45
4,17,12,69.16
4,17,13,69.16
4,17,14,69.16
4,17,15,69.66
4,17,16,69.66
4,17,17,69.66
4,17,18,67.98
4,17,19,68.31
4,17,20,67.57
4,17,21,68.78
4,17,22,68.78
4,17,23,68.78
4,18,0,68.32
4,18,1,69.67
4,18,2,69.67
4,18,3,69.78
4,18,4,69.78
4,18,5,69.78
4,18,6,70.47
4,18,7,70.47
4,18,8,68.88
4,18,9,69.48
4,18,10,70.49
4,18,11,71.87
4,18,12,71.42
4,18,13,71.42
4,18,14,75.47
4,18,15,71.63
4,18,16,78.8
